96500 98888
1 399735143 19700585
1 114957792 153306422
1 413093289 837256050
1 989609674 901923481
1 643093476 979834359
1 707675523 138077975
1 215376202 110860397
1 504067024 824463531
1 585070696 103051706
1 627690251 943353071
1 160864171 755189002
1 46820668 374425783
1 686321034 862950401
1 53254060 687789268
1 353247383 383965773
1 387848465 749261188
1 190151103 206899963
1 381023490 858539654
1 258469517 885237985
1 439629267 150839720
1 285474699 494798695
1 968007980 766988766
1 740098499 403167847
1 121689585 270896660
1 13121231 130692354
1 370191145 542448656
1 840682432 54721011
1 922135543 735569380
1 582054277 798221454
1 90024298 2867576
1 912774234 166355248
1 790119105 640408334
1 945569265 596627633
1 715281668 125538170
1 449555919 838860487
1 44408372 194682695
1 500829462 452355241
1 145927044 755460790
1 49379147 779614465
1 17228935 449396778
1 379643996 502725535
1 969220827 823955472
1 984631532 193174542
1 105069061 102623902
1 171156711 150238444
1 634229016 171226782
1 376136294 678320137
1 325245967 856064332
1 895591056 278974947
1 329084658 948434559
1 499430707 565800073
1 594484111 400527733
1 498179477 11213933
1 492929413 820217812
1 995599860 647248174
1 403003655 119006947
1 249945033 141134677
1 829028416 606685976
1 817156267 787456904
1 880952763 420825323
1 698404087 79359354
1 386467636 371009724
1 326571134 505825984
1 259202559 320572997
1 229720856 890313133
1 886478741 954140748
1 529765155 88738201
1 774916591 327804460
1 313970109 321279862
1 214590828 795981461
1 988724873 63458603
1 902891323 775015959
1 48350196 872925606
1 916488053 661990487
1 234725119 890594072
1 782319150 543067116
1 848459039 759652393
1 144358092 362909712
1 744086308 854280653
1 486672772 537046159
1 901904230 10308015
1 59238964 137317965
1 449021466 239222082
1 469843861 161380386
1 359266785 620323778
1 790783887 721476104
1 972053506 40667544
1 690015710 475322748
1 148644175 739167764
1 596202912 16623660
1 310846071 355180724
1 773925434 849297937
1 230927829 701071874
1 364392005 506045369
1 156102945 190158559
1 531183899 518269914
1 319350120 755832987
1 677794210 434023782
1 921223266 789820439
1 545094724 34766744
1 610324840 140666386
1 217334027 656286820
1 482434328 168478202
1 88943548 225592924
1 523361958 51409994
1 931046174 172689307
1 28121100 977903938
1 45122875 318432734
1 79628527 227319786
1 136282651 723421164
1 736272143 518111965
1 63943055 949101885
1 450431351 312839160
1 631644367 35209048
1 944276076 543858002
1 389511432 781460146
1 579910785 279773409
1 168874580 94663304
1 345364449 684975080
1 53828338 40734888
1 145555593 368977618
1 602139029 694317
1 448357398 22670863
1 374342362 592476071
1 107932019 537245265
1 129563858 617300504
1 126675739 882851196
1 248523233 867262194
1 586882056 127303099
1 449676119 711578240
1 675911491 648915185
1 273618469 943120256
1 917526800 940342140
1 722795349 853923211
1 207350713 370452888
1 71096321 707937893
1 570067673 995809422
1 986789746 752033819
1 343851276 229901655
1 406203610 213559457
1 311759507 674914047
1 995297803 13027116
1 667560186 229474174
1 917203815 806900539
1 325534147 611559720
1 63179633 3170213
1 38238907 22173005
1 73416809 260695485
1 329241300 286149359
1 635190300 295141441
1 34427929 750080238
1 244651361 217218900
1 393484129 978585568
1 572755889 286520569
1 100819391 106907054
1 902076347 110099856
1 759763195 195231881
1 29234790 161317523
1 659965941 294533632
1 45938974 942685323
1 956945517 878271836
1 494385866 321998197
1 637743507 257218550
1 600347641 164628681
1 517912609 598976750
1 120314742 786230476
1 683173525 295352744
1 434035494 625577377
1 37199465 86645556
1 1113500 973198833
1 967805030 650975410
1 525050599 308090448
1 474858924 904703416
1 571674742 295552116
1 330736547 794445571
1 757290732 797240602
1 177191607 292499038
1 57687090 824775411
1 904041452 777881239
1 323119792 481179459
1 582234484 324971787
1 152282673 761861534
1 422809223 131223038
1 369252626 948628999
1 945090595 348576953
1 156356934 163984388
1 476461091 708015352
1 802053517 358608000
1 280127559 819729889
1 17699329 912857795
1 830462254 82881125
1 9628289 761379698
1 884831755 43050810
1 698300914 345330743
1 240638833 705158930
1 22074455 76651410
1 155952875 169920785
1 776566041 487328268
1 321832842 326247279
1 3704756 781786907
1 172670403 614034702
1 476168360 83052729
1 583930437 118587869
1 123585486 70533709
1 768211213 654171127
1 242026342 402702576
1 271861342 475857825
1 963410194 801410756
1 511922938 69329084
1 87739162 103808823
1 76971973 321268226
1 822609857 897125791
1 503216485 768861509
1 606185467 496722501
1 220077736 879668818
1 327646252 395465034
1 7491018 347488000
1 149161623 845981712
1 442487027 143593228
1 295914827 661349515
1 843221791 784054784
1 151242912 466467583
1 540038573 162404189
1 38844536 611045020
1 137872174 875751883
